Cod_com,Candidato (a),Sigla Partido,Votos Totales,Electo(a),Cargo,Año de Elección,Nombres,Apellido Paterno,Apellido Materno,Período,Sexo,Partido
2101,ALESSANDRI BESA ARTURO,INDEP,19858,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2102,ALESSANDRI BESA ARTURO,INDEP,482,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2103,ALESSANDRI BESA ARTURO,INDEP,56,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2104,ALESSANDRI BESA ARTURO,INDEP,1169,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2201,ALESSANDRI BESA ARTURO,INDEP,14659,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2202,ALESSANDRI BESA ARTURO,INDEP,37,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2203,ALESSANDRI BESA ARTURO,INDEP,466,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2301,ALESSANDRI BESA ARTURO,INDEP,3264,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
2302,ALESSANDRI BESA ARTURO,INDEP,1681,SI,SENADOR,1989,ARTURO,ALESSANDRI,BESA,1990-1994,HOMBRE,INDEPENDIENTE
7102,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,2336,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7103,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,1113,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7104,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,205,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7105,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,1256,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7106,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,1120,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7107,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,324,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7108,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,981,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7109,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,4673,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
7110,ALVAREZ-SALAMANCA BUCHI PEDRO PABLO,RN,620,SI,DIPUTADO,1989,PEDRO PABLO,ALVAREZ-SALAMANCA,BUCHI,1990-1994,HOMBRE,RENOVACION NACIONAL
3102,ARANCIBIA CALDERON ARMANDO,PPD,1625,SI,DIPUTADO,1989,ARMANDO,ARANCIBIA,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
3103,ARANCIBIA CALDERON ARMANDO,PPD,1919,SI,DIPUTADO,1989,ARMANDO,ARANCIBIA,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
3301,ARANCIBIA CALDERON ARMANDO,PPD,7391,SI,DIPUTADO,1989,ARMANDO,ARANCIBIA,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
3302,ARANCIBIA CALDERON ARMANDO,PPD,423,SI,DIPUTADO,1989,ARMANDO,ARANCIBIA,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
3303,ARANCIBIA CALDERON ARMANDO,PPD,555,SI,DIPUTADO,1989,ARMANDO,ARANCIBIA,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
3304,ARANCIBIA CALDERON ARMANDO,PPD,1230,SI,DIPUTADO,1989,ARMANDO,ARANCIBIA,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
2201,ARAYA NICANOR,INDEP,17694,SI,DIPUTADO,1989,DE LA CRUZ,ARAYA,NICANOR,1990-1994,HOMBRE,INDEPENDIENTE
2202,ARAYA NICANOR,INDEP,14,SI,DIPUTADO,1989,DE LA CRUZ,ARAYA,NICANOR,1990-1994,HOMBRE,INDEPENDIENTE
2203,ARAYA NICANOR,INDEP,250,SI,DIPUTADO,1989,DE LA CRUZ,ARAYA,NICANOR,1990-1994,HOMBRE,INDEPENDIENTE
2301,ARAYA NICANOR,INDEP,3253,SI,DIPUTADO,1989,DE LA CRUZ,ARAYA,NICANOR,1990-1994,HOMBRE,INDEPENDIENTE
2302,ARAYA NICANOR,INDEP,3592,SI,DIPUTADO,1989,DE LA CRUZ,ARAYA,NICANOR,1990-1994,HOMBRE,INDEPENDIENTE
13401,AYLWIN AZOCAR ANDRES,PDC,56386,SI,DIPUTADO,1989,ANDRES,AYLWIN,AZOCAR,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13402,AYLWIN AZOCAR ANDRES,PDC,13239,SI,DIPUTADO,1989,ANDRES,AYLWIN,AZOCAR,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13403,AYLWIN AZOCAR ANDRES,PDC,2910,SI,DIPUTADO,1989,ANDRES,AYLWIN,AZOCAR,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13404,AYLWIN AZOCAR ANDRES,PDC,8590,SI,DIPUTADO,1989,ANDRES,AYLWIN,AZOCAR,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
5101,BARTOLUCCI JOHNSTON FRANCISCO,UDI,28172,SI,DIPUTADO,1989,MARIO FRANCISCO,BARTOLUCCI,JOHNSTON,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
5104,BARTOLUCCI JOHNSTON FRANCISCO,UDI,129,SI,DIPUTADO,1989,MARIO FRANCISCO,BARTOLUCCI,JOHNSTON,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
5201,BARTOLUCCI JOHNSTON FRANCISCO,UDI,292,SI,DIPUTADO,1989,MARIO FRANCISCO,BARTOLUCCI,JOHNSTON,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
9201,BAYO VELOSO FRANCISCO,RN,5630,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9202,BAYO VELOSO FRANCISCO,RN,2236,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9204,BAYO VELOSO FRANCISCO,RN,646,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9206,BAYO VELOSO FRANCISCO,RN,710,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9207,BAYO VELOSO FRANCISCO,RN,798,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9208,BAYO VELOSO FRANCISCO,RN,1779,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9209,BAYO VELOSO FRANCISCO,RN,1132,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
9210,BAYO VELOSO FRANCISCO,RN,2713,SI,DIPUTADO,1989,FRANCISCO LEANDRO,BAYO,VELOSO,1990-1994,HOMBRE,RENOVACION NACIONAL
13101,BOMBAL OTAEGUI CARLOS,INDEP,58502,SI,DIPUTADO,1989,CARLOS RAMON,BOMBAL,OTAEGUI,1990-1994,HOMBRE,INDEPENDIENTE
13103,BOSSELIN CORREA HERNAN,PDC,26601,SI,DIPUTADO,1989,CARLOS HERNAN,BOSSELIN,CORREA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13117,BOSSELIN CORREA HERNAN,PDC,23584,SI,DIPUTADO,1989,CARLOS HERNAN,BOSSELIN,CORREA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13126,BOSSELIN CORREA HERNAN,PDC,25920,SI,DIPUTADO,1989,CARLOS HERNAN,BOSSELIN,CORREA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
12101,CALDERON ARANGUIZ ROLANDO,INDEP,13756,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12102,CALDERON ARANGUIZ ROLANDO,INDEP,16,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12103,CALDERON ARANGUIZ ROLANDO,INDEP,22,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12104,CALDERON ARANGUIZ ROLANDO,INDEP,39,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12201,CALDERON ARANGUIZ ROLANDO,INDEP,47,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12301,CALDERON ARANGUIZ ROLANDO,INDEP,625,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12302,CALDERON ARANGUIZ ROLANDO,INDEP,74,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12303,CALDERON ARANGUIZ ROLANDO,INDEP,23,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12401,CALDERON ARANGUIZ ROLANDO,INDEP,2453,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
12402,CALDERON ARANGUIZ ROLANDO,INDEP,7,SI,SENADOR,1989,ROLANDO,CALDERON,ARANGUIZ,1990-1994,HOMBRE,INDEPENDIENTE
14104,CAMINONDO SAEZ CARLOS,RN,1782,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
14107,CAMINONDO SAEZ CARLOS,RN,3526,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
14108,CAMINONDO SAEZ CARLOS,RN,3753,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
14201,CAMINONDO SAEZ CARLOS,RN,7799,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
14202,CAMINONDO SAEZ CARLOS,RN,1849,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
14203,CAMINONDO SAEZ CARLOS,RN,1695,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
14204,CAMINONDO SAEZ CARLOS,RN,3490,SI,DIPUTADO,1989,CARLOS,CAMINONDO,SAEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
7102,CAMPOS QUIROGA JAIME,PR,11240,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7103,CAMPOS QUIROGA JAIME,PR,3368,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7104,CAMPOS QUIROGA JAIME,PR,897,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7105,CAMPOS QUIROGA JAIME,PR,3430,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7106,CAMPOS QUIROGA JAIME,PR,1605,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7107,CAMPOS QUIROGA JAIME,PR,2159,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7108,CAMPOS QUIROGA JAIME,PR,1769,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7109,CAMPOS QUIROGA JAIME,PR,8281,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
7110,CAMPOS QUIROGA JAIME,PR,1789,SI,DIPUTADO,1989,JAIME ALFONSO,CAMPOS,QUIROGA,1990-1994,HOMBRE,RADICAL
2201,CANTERO OJEDA CARLOS,RN,10417,SI,DIPUTADO,1989,CARLOS RAUL,CANTERO,OJEDA,1990-1994,HOMBRE,RENOVACION NACIONAL
2202,CANTERO OJEDA CARLOS,RN,24,SI,DIPUTADO,1989,CARLOS RAUL,CANTERO,OJEDA,1990-1994,HOMBRE,RENOVACION NACIONAL
2203,CANTERO OJEDA CARLOS,RN,228,SI,DIPUTADO,1989,CARLOS RAUL,CANTERO,OJEDA,1990-1994,HOMBRE,RENOVACION NACIONAL
2301,CANTERO OJEDA CARLOS,RN,2048,SI,DIPUTADO,1989,CARLOS RAUL,CANTERO,OJEDA,1990-1994,HOMBRE,RENOVACION NACIONAL
2302,CANTERO OJEDA CARLOS,RN,1184,SI,DIPUTADO,1989,CARLOS RAUL,CANTERO,OJEDA,1990-1994,HOMBRE,RENOVACION NACIONAL
8101,CANTUARIAS LARRONDO EUGENIO,UDI,20159,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8102,CANTUARIAS LARRONDO EUGENIO,UDI,4371,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8103,CANTUARIAS LARRONDO EUGENIO,UDI,3621,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8104,CANTUARIAS LARRONDO EUGENIO,UDI,1126,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8105,CANTUARIAS LARRONDO EUGENIO,UDI,1601,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8107,CANTUARIAS LARRONDO EUGENIO,UDI,2387,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8108,CANTUARIAS LARRONDO EUGENIO,UDI,4078,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8109,CANTUARIAS LARRONDO EUGENIO,UDI,912,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8110,CANTUARIAS LARRONDO EUGENIO,UDI,21168,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8111,CANTUARIAS LARRONDO EUGENIO,UDI,3722,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8303,CANTUARIAS LARRONDO EUGENIO,UDI,1294,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
8313,CANTUARIAS LARRONDO EUGENIO,UDI,2241,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16102,CANTUARIAS LARRONDO EUGENIO,UDI,1465,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16107,CANTUARIAS LARRONDO EUGENIO,UDI,1476,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16201,CANTUARIAS LARRONDO EUGENIO,UDI,1434,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16202,CANTUARIAS LARRONDO EUGENIO,UDI,794,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16203,CANTUARIAS LARRONDO EUGENIO,UDI,1471,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16204,CANTUARIAS LARRONDO EUGENIO,UDI,811,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16205,CANTUARIAS LARRONDO EUGENIO,UDI,674,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16206,CANTUARIAS LARRONDO EUGENIO,UDI,404,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16207,CANTUARIAS LARRONDO EUGENIO,UDI,554,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16301,CANTUARIAS LARRONDO EUGENIO,UDI,5324,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16303,CANTUARIAS LARRONDO EUGENIO,UDI,1319,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16304,CANTUARIAS LARRONDO EUGENIO,UDI,482,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
16305,CANTUARIAS LARRONDO EUGENIO,UDI,753,SI,SENADOR,1989,EUGENIO GUSTAVO,CANTUARIAS,LARRONDO,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13114,CARABALL MARTINEZ ELIANA,PDC,32962,SI,DIPUTADO,1989,ELIANA MARIA ANGEL,CARABALL,MARTINEZ,1990-1994,MUJER,DEMOCRATA CRISTIANO
13115,CARABALL MARTINEZ ELIANA,PDC,6218,SI,DIPUTADO,1989,ELIANA MARIA ANGEL,CARABALL,MARTINEZ,1990-1994,MUJER,DEMOCRATA CRISTIANO
13132,CARABALL MARTINEZ ELIANA,PDC,10781,SI,DIPUTADO,1989,ELIANA MARIA ANGEL,CARABALL,MARTINEZ,1990-1994,MUJER,DEMOCRATA CRISTIANO
5103,CARDEMIL ALFARO GUSTAVO,PDC,3590,SI,DIPUTADO,1989,GUSTAVO,CARDEMIL,ALFARO,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
5109,CARDEMIL ALFARO GUSTAVO,PDC,43662,SI,DIPUTADO,1989,GUSTAVO,CARDEMIL,ALFARO,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11101,CARRASCO MUÑOZ BALDEMAR,PDC,4955,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11102,CARRASCO MUÑOZ BALDEMAR,PDC,127,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11201,CARRASCO MUÑOZ BALDEMAR,PDC,2539,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11202,CARRASCO MUÑOZ BALDEMAR,PDC,341,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11203,CARRASCO MUÑOZ BALDEMAR,PDC,151,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11301,CARRASCO MUÑOZ BALDEMAR,PDC,274,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11302,CARRASCO MUÑOZ BALDEMAR,PDC,10,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11303,CARRASCO MUÑOZ BALDEMAR,PDC,15,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11401,CARRASCO MUÑOZ BALDEMAR,PDC,502,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
11402,CARRASCO MUÑOZ BALDEMAR,PDC,350,SI,DIPUTADO,1989,BALDEMAR,CARRASCO,MUÑOZ,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
5105,CERDA GARCIA EDUARDO,PDC,1702,SI,DIPUTADO,1989,EDUARDO ANTONIO,CERDA,GARCIA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
5107,CERDA GARCIA EDUARDO,PDC,2628,SI,DIPUTADO,1989,EDUARDO ANTONIO,CERDA,GARCIA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
5401,CERDA GARCIA EDUARDO,PDC,5186,SI,DIPUTADO,1989,EDUARDO ANTONIO,CERDA,GARCIA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
