Cod_com,Candidato (a),Sigla Partido,Votos Totales,Electo(a),Cargo,Año de Elección,Nombres,Apellido Paterno,Apellido Materno,Período,Sexo,Partido
9103,ACUÑA CISTERNAS MARIO,PDC,2778,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9104,ACUÑA CISTERNAS MARIO,PDC,451,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9107,ACUÑA CISTERNAS MARIO,PDC,2239,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9109,ACUÑA CISTERNAS MARIO,PDC,4102,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9115,ACUÑA CISTERNAS MARIO,PDC,1308,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9118,ACUÑA CISTERNAS MARIO,PDC,1497,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9120,ACUÑA CISTERNAS MARIO,PDC,6248,SI,DIPUTADO,1989,MARIO ALBERTO,ACUÑA,CISTERNAS,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
7101,AGUILO MELO SERGIO,INDEP,19405,SI,DIPUTADO,1989,SERGIO PATRICIO,AGUILO,MELO,1990-1994,HOMBRE,INDEPENDIENTE
8303,ALAMOS VASQUEZ HUGO,RN,1953,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
8313,ALAMOS VASQUEZ HUGO,RN,2354,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16102,ALAMOS VASQUEZ HUGO,RN,4428,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16107,ALAMOS VASQUEZ HUGO,RN,2570,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16201,ALAMOS VASQUEZ HUGO,RN,1001,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16202,ALAMOS VASQUEZ HUGO,RN,1096,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16203,ALAMOS VASQUEZ HUGO,RN,2062,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16204,ALAMOS VASQUEZ HUGO,RN,950,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16205,ALAMOS VASQUEZ HUGO,RN,807,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16206,ALAMOS VASQUEZ HUGO,RN,899,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16207,ALAMOS VASQUEZ HUGO,RN,581,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16301,ALAMOS VASQUEZ HUGO,RN,7317,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16303,ALAMOS VASQUEZ HUGO,RN,1763,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16304,ALAMOS VASQUEZ HUGO,RN,518,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
16305,ALAMOS VASQUEZ HUGO,RN,1192,SI,DIPUTADO,1989,HUGO,ALAMOS,VASQUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
13110,ALESSANDRI BALMACEDA GUSTAVO,INDEP,30484,SI,DIPUTADO,1989,GUSTAVO,ALESSANDRI,BALMACEDA,1990-1994,HOMBRE,INDEPENDIENTE
