Comuna,Variable,Año,Valor
Aisén,Frecuencia Anual Aprehendidos,2005,1
Aisén,Frecuencia Anual Aprehendidos,2006,1
Aisén,Frecuencia Anual Aprehendidos,2007,2
Aisén,Frecuencia Anual Aprehendidos,2008,3
Aisén,Frecuencia Anual Aprehendidos,2009,0
Aisén,Frecuencia Anual Aprehendidos,2010,1
Aisén,Frecuencia Anual Aprehendidos,2011,1
Aisén,Frecuencia Anual Aprehendidos,2012,2
Aisén,Frecuencia Anual Aprehendidos,2013,1
Aisén,Frecuencia Anual Aprehendidos,2014,1
Aisén,Frecuencia Anual Aprehendidos,2015,0
Aisén,Frecuencia Anual Aprehendidos,2016,0
Aisén,Frecuencia Anual Aprehendidos,2017,1
Aisén,Frecuencia Anual Aprehendidos,2018,2
Aisén,Frecuencia Anual Aprehendidos,2019,0
Aisén,Frecuencia Anual Casos Policiales,2005,4
Aisén,Frecuencia Anual Casos Policiales,2006,7
Aisén,Frecuencia Anual Casos Policiales,2007,13
Aisén,Frecuencia Anual Casos Policiales,2008,8
Aisén,Frecuencia Anual Casos Policiales,2009,5
Aisén,Frecuencia Anual Casos Policiales,2010,3
Aisén,Frecuencia Anual Casos Policiales,2011,4
Aisén,Frecuencia Anual Casos Policiales,2012,5
Aisén,Frecuencia Anual Casos Policiales,2013,5
Aisén,Frecuencia Anual Casos Policiales,2014,5
Aisén,Frecuencia Anual Casos Policiales,2015,2
Aisén,Frecuencia Anual Casos Policiales,2016,2
Aisén,Frecuencia Anual Casos Policiales,2017,5
Aisén,Frecuencia Anual Casos Policiales,2018,3
Aisén,Frecuencia Anual Casos Policiales,2019,7
Aisén,Frecuencia Anual Denuncia,2005,3
Aisén,Frecuencia Anual Denuncia,2006,6
Aisén,Frecuencia Anual Denuncia,2007,11
Aisén,Frecuencia Anual Denuncia,2008,5
Aisén,Frecuencia Anual Denuncia,2009,5
Aisén,Frecuencia Anual Denuncia,2010,2
Aisén,Frecuencia Anual Denuncia,2011,3
Aisén,Frecuencia Anual Denuncia,2012,3
Aisén,Frecuencia Anual Denuncia,2013,4
Aisén,Frecuencia Anual Denuncia,2014,4
Aisén,Frecuencia Anual Denuncia,2015,2
Aisén,Frecuencia Anual Denuncia,2016,2
Aisén,Frecuencia Anual Denuncia,2017,4
Aisén,Frecuencia Anual Denuncia,2018,1
Aisén,Frecuencia Anual Denuncia,2019,7
Aisén,Frecuencia Anual Detenciones,2005,1
Aisén,Frecuencia Anual Detenciones,2006,1
Aisén,Frecuencia Anual Detenciones,2007,2
Aisén,Frecuencia Anual Detenciones,2008,3
Aisén,Frecuencia Anual Detenciones,2009,0
Aisén,Frecuencia Anual Detenciones,2010,1
Aisén,Frecuencia Anual Detenciones,2011,1
Aisén,Frecuencia Anual Detenciones,2012,2
Aisén,Frecuencia Anual Detenciones,2013,1
Aisén,Frecuencia Anual Detenciones,2014,1
Aisén,Frecuencia Anual Detenciones,2015,0
Aisén,Frecuencia Anual Detenciones,2016,0
Aisén,Frecuencia Anual Detenciones,2017,1
Aisén,Frecuencia Anual Detenciones,2018,2
Aisén,Frecuencia Anual Detenciones,2019,0
Algarrobo,Frecuencia Anual Aprehendidos,2005,0
Algarrobo,Frecuencia Anual Aprehendidos,2006,0
Algarrobo,Frecuencia Anual Aprehendidos,2007,0
Algarrobo,Frecuencia Anual Aprehendidos,2008,1
Algarrobo,Frecuencia Anual Aprehendidos,2009,1
Algarrobo,Frecuencia Anual Aprehendidos,2010,0
Algarrobo,Frecuencia Anual Aprehendidos,2011,0
Algarrobo,Frecuencia Anual Aprehendidos,2012,0
Algarrobo,Frecuencia Anual Aprehendidos,2013,0
Algarrobo,Frecuencia Anual Aprehendidos,2014,2
Algarrobo,Frecuencia Anual Aprehendidos,2015,0
Algarrobo,Frecuencia Anual Aprehendidos,2016,0
Algarrobo,Frecuencia Anual Aprehendidos,2017,0
Algarrobo,Frecuencia Anual Aprehendidos,2018,1
Algarrobo,Frecuencia Anual Aprehendidos,2019,0
Algarrobo,Frecuencia Anual Casos Policiales,2005,1
