Comuna,Variable,Año,Valor
Algarrobo,Frecuencia Anual Casos Policiales,2006,6
Algarrobo,Frecuencia Anual Casos Policiales,2007,4
Algarrobo,Frecuencia Anual Casos Policiales,2008,7
Algarrobo,Frecuencia Anual Casos Policiales,2009,2
Algarrobo,Frecuencia Anual Casos Policiales,2010,1
Algarrobo,Frecuencia Anual Casos Policiales,2011,2
Algarrobo,Frecuencia Anual Casos Policiales,2012,1
Algarrobo,Frecuencia Anual Casos Policiales,2013,1
Algarrobo,Frecuencia Anual Casos Policiales,2014,7
Algarrobo,Frecuencia Anual Casos Policiales,2015,1
Algarrobo,Frecuencia Anual Casos Policiales,2016,1
Algarrobo,Frecuencia Anual Casos Policiales,2017,2
Algarrobo,Frecuencia Anual Casos Policiales,2018,1
Algarrobo,Frecuencia Anual Casos Policiales,2019,4
Algarrobo,Frecuencia Anual Denuncia,2005,1
Algarrobo,Frecuencia Anual Denuncia,2006,6
Algarrobo,Frecuencia Anual Denuncia,2007,4
Algarrobo,Frecuencia Anual Denuncia,2008,6
Algarrobo,Frecuencia Anual Denuncia,2009,1
Algarrobo,Frecuencia Anual Denuncia,2010,1
Algarrobo,Frecuencia Anual Denuncia,2011,2
Algarrobo,Frecuencia Anual Denuncia,2012,1
Algarrobo,Frecuencia Anual Denuncia,2013,1
Algarrobo,Frecuencia Anual Denuncia,2014,6
Algarrobo,Frecuencia Anual Denuncia,2015,1
Algarrobo,Frecuencia Anual Denuncia,2016,1
Algarrobo,Frecuencia Anual Denuncia,2017,2
Algarrobo,Frecuencia Anual Denuncia,2018,0
Algarrobo,Frecuencia Anual Denuncia,2019,4
Algarrobo,Frecuencia Anual Detenciones,2005,0
Algarrobo,Frecuencia Anual Detenciones,2006,0
Algarrobo,Frecuencia Anual Detenciones,2007,0
Algarrobo,Frecuencia Anual Detenciones,2008,1
Algarrobo,Frecuencia Anual Detenciones,2009,1
Algarrobo,Frecuencia Anual Detenciones,2010,0
Algarrobo,Frecuencia Anual Detenciones,2011,0
Algarrobo,Frecuencia Anual Detenciones,2012,0
Algarrobo,Frecuencia Anual Detenciones,2013,0
Algarrobo,Frecuencia Anual Detenciones,2014,1
Algarrobo,Frecuencia Anual Detenciones,2015,0
Algarrobo,Frecuencia Anual Detenciones,2016,0
Algarrobo,Frecuencia Anual Detenciones,2017,0
Algarrobo,Frecuencia Anual Detenciones,2018,1
Algarrobo,Frecuencia Anual Detenciones,2019,0
Alhué,Frecuencia Anual Aprehendidos,2005,0
Alhué,Frecuencia Anual Aprehendidos,2006,0
Alhué,Frecuencia Anual Aprehendidos,2007,0
Alhué,Frecuencia Anual Aprehendidos,2008,0
Alhué,Frecuencia Anual Aprehendidos,2009,0
Alhué,Frecuencia Anual Aprehendidos,2010,2
Alhué,Frecuencia Anual Aprehendidos,2011,1
Alhué,Frecuencia Anual Aprehendidos,2012,0
Alhué,Frecuencia Anual Aprehendidos,2013,2
Alhué,Frecuencia Anual Aprehendidos,2014,0
Alhué,Frecuencia Anual Aprehendidos,2015,1
Alhué,Frecuencia Anual Aprehendidos,2016,0
Alhué,Frecuencia Anual Aprehendidos,2017,0
Alhué,Frecuencia Anual Aprehendidos,2018,0
Alhué,Frecuencia Anual Aprehendidos,2019,1
Alhué,Frecuencia Anual Casos Policiales,2005,0
Alhué,Frecuencia Anual Casos Policiales,2006,0
Alhué,Frecuencia Anual Casos Policiales,2007,1
Alhué,Frecuencia Anual Casos Policiales,2008,0
Alhué,Frecuencia Anual Casos Policiales,2009,1
Alhué,Frecuencia Anual Casos Policiales,2010,5
Alhué,Frecuencia Anual Casos Policiales,2011,3
Alhué,Frecuencia Anual Casos Policiales,2012,1
Alhué,Frecuencia Anual Casos Policiales,2013,7
Alhué,Frecuencia Anual Casos Policiales,2014,3
Alhué,Frecuencia Anual Casos Policiales,2015,1
Alhué,Frecuencia Anual Casos Policiales,2016,0
Alhué,Frecuencia Anual Casos Policiales,2017,0
Alhué,Frecuencia Anual Casos Policiales,2018,0
Alhué,Frecuencia Anual Casos Policiales,2019,2
Alhué,Frecuencia Anual Denuncia,2005,0
Alhué,Frecuencia Anual Denuncia,2006,0
Alhué,Frecuencia Anual Denuncia,2007,1
Alhué,Frecuencia Anual Denuncia,2008,0
Alhué,Frecuencia Anual Denuncia,2009,1
Alhué,Frecuencia Anual Denuncia,2010,3
Alhué,Frecuencia Anual Denuncia,2011,2
Alhué,Frecuencia Anual Denuncia,2012,1
Alhué,Frecuencia Anual Denuncia,2013,5
Alhué,Frecuencia Anual Denuncia,2014,3
Alhué,Frecuencia Anual Denuncia,2015,0
Alhué,Frecuencia Anual Denuncia,2016,0
Alhué,Frecuencia Anual Denuncia,2017,0
Alhué,Frecuencia Anual Denuncia,2018,0
Alhué,Frecuencia Anual Denuncia,2019,1
Alhué,Frecuencia Anual Detenciones,2005,0
Alhué,Frecuencia Anual Detenciones,2006,0
Alhué,Frecuencia Anual Detenciones,2007,0
Alhué,Frecuencia Anual Detenciones,2008,0
Alhué,Frecuencia Anual Detenciones,2009,0
Alhué,Frecuencia Anual Detenciones,2010,2
Alhué,Frecuencia Anual Detenciones,2011,1
Alhué,Frecuencia Anual Detenciones,2012,0
Alhué,Frecuencia Anual Detenciones,2013,2
Alhué,Frecuencia Anual Detenciones,2014,0
Alhué,Frecuencia Anual Detenciones,2015,1
Alhué,Frecuencia Anual Detenciones,2016,0
Alhué,Frecuencia Anual Detenciones,2017,0
Alhué,Frecuencia Anual Detenciones,2018,0
Alhué,Frecuencia Anual Detenciones,2019,1
Alto Biobío,Frecuencia Anual Aprehendidos,2005,0
Alto Biobío,Frecuencia Anual Aprehendidos,2006,0
Alto Biobío,Frecuencia Anual Aprehendidos,2007,0
Alto Biobío,Frecuencia Anual Aprehendidos,2008,0
Alto Biobío,Frecuencia Anual Aprehendidos,2009,0
Alto Biobío,Frecuencia Anual Aprehendidos,2010,0
Alto Biobío,Frecuencia Anual Aprehendidos,2011,1
Alto Biobío,Frecuencia Anual Aprehendidos,2012,1
Alto Biobío,Frecuencia Anual Aprehendidos,2013,1
Alto Biobío,Frecuencia Anual Aprehendidos,2014,0
Alto Biobío,Frecuencia Anual Aprehendidos,2015,0
Alto Biobío,Frecuencia Anual Aprehendidos,2016,2
Alto Biobío,Frecuencia Anual Aprehendidos,2017,0
Alto Biobío,Frecuencia Anual Aprehendidos,2018,0
Alto Biobío,Frecuencia Anual Aprehendidos,2019,1
Alto Biobío,Frecuencia Anual Casos Policiales,2005,0
Alto Biobío,Frecuencia Anual Casos Policiales,2006,0
Alto Biobío,Frecuencia Anual Casos Policiales,2007,0
Alto Biobío,Frecuencia Anual Casos Policiales,2008,0
Alto Biobío,Frecuencia Anual Casos Policiales,2009,0
Alto Biobío,Frecuencia Anual Casos Policiales,2010,1
Alto Biobío,Frecuencia Anual Casos Policiales,2011,3
Alto Biobío,Frecuencia Anual Casos Policiales,2012,1
Alto Biobío,Frecuencia Anual Casos Policiales,2013,2
Alto Biobío,Frecuencia Anual Casos Policiales,2014,3
Alto Biobío,Frecuencia Anual Casos Policiales,2015,3
Alto Biobío,Frecuencia Anual Casos Policiales,2016,3
Alto Biobío,Frecuencia Anual Casos Policiales,2017,0
Alto Biobío,Frecuencia Anual Casos Policiales,2018,1
Alto Biobío,Frecuencia Anual Casos Policiales,2019,1
Alto Biobío,Frecuencia Anual Denuncia,2005,0
Alto Biobío,Frecuencia Anual Denuncia,2006,0
Alto Biobío,Frecuencia Anual Denuncia,2007,0
Alto Biobío,Frecuencia Anual Denuncia,2008,0
Alto Biobío,Frecuencia Anual Denuncia,2009,0
Alto Biobío,Frecuencia Anual Denuncia,2010,1
Alto Biobío,Frecuencia Anual Denuncia,2011,2
Alto Biobío,Frecuencia Anual Denuncia,2012,0
Alto Biobío,Frecuencia Anual Denuncia,2013,1
Alto Biobío,Frecuencia Anual Denuncia,2014,3
Alto Biobío,Frecuencia Anual Denuncia,2015,3
Alto Biobío,Frecuencia Anual Denuncia,2016,1
Alto Biobío,Frecuencia Anual Denuncia,2017,0
Alto Biobío,Frecuencia Anual Denuncia,2018,1
Alto Biobío,Frecuencia Anual Denuncia,2019,0
Alto Biobío,Frecuencia Anual Detenciones,2005,0
Alto Biobío,Frecuencia Anual Detenciones,2006,0
Alto Biobío,Frecuencia Anual Detenciones,2007,0
Alto Biobío,Frecuencia Anual Detenciones,2008,0
Alto Biobío,Frecuencia Anual Detenciones,2009,0
Alto Biobío,Frecuencia Anual Detenciones,2010,0
Alto Biobío,Frecuencia Anual Detenciones,2011,1
Alto Biobío,Frecuencia Anual Detenciones,2012,1
Alto Biobío,Frecuencia Anual Detenciones,2013,1
Alto Biobío,Frecuencia Anual Detenciones,2014,0
Alto Biobío,Frecuencia Anual Detenciones,2015,0
Alto Biobío,Frecuencia Anual Detenciones,2016,2
Alto Biobío,Frecuencia Anual Detenciones,2017,0
Alto Biobío,Frecuencia Anual Detenciones,2018,0
Alto Biobío,Frecuencia Anual Detenciones,2019,1
Alto del Carmen,Frecuencia Anual Aprehendidos,2005,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2006,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2007,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2008,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2009,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2010,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2011,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2012,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2013,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2014,1
Alto del Carmen,Frecuencia Anual Aprehendidos,2015,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2016,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2017,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2018,0
Alto del Carmen,Frecuencia Anual Aprehendidos,2019,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2005,1
Alto del Carmen,Frecuencia Anual Casos Policiales,2006,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2007,1
Alto del Carmen,Frecuencia Anual Casos Policiales,2008,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2009,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2010,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2011,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2012,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2013,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2014,1
Alto del Carmen,Frecuencia Anual Casos Policiales,2015,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2016,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2017,2
Alto del Carmen,Frecuencia Anual Casos Policiales,2018,0
Alto del Carmen,Frecuencia Anual Casos Policiales,2019,0
Alto del Carmen,Frecuencia Anual Denuncia,2005,1
Alto del Carmen,Frecuencia Anual Denuncia,2006,0
Alto del Carmen,Frecuencia Anual Denuncia,2007,1
Alto del Carmen,Frecuencia Anual Denuncia,2008,0
Alto del Carmen,Frecuencia Anual Denuncia,2009,0
Alto del Carmen,Frecuencia Anual Denuncia,2010,0
Alto del Carmen,Frecuencia Anual Denuncia,2011,0
Alto del Carmen,Frecuencia Anual Denuncia,2012,0
Alto del Carmen,Frecuencia Anual Denuncia,2013,0
Alto del Carmen,Frecuencia Anual Denuncia,2014,0
Alto del Carmen,Frecuencia Anual Denuncia,2015,0
Alto del Carmen,Frecuencia Anual Denuncia,2016,0
Alto del Carmen,Frecuencia Anual Denuncia,2017,2
Alto del Carmen,Frecuencia Anual Denuncia,2018,0
Alto del Carmen,Frecuencia Anual Denuncia,2019,0
Alto del Carmen,Frecuencia Anual Detenciones,2005,0
Alto del Carmen,Frecuencia Anual Detenciones,2006,0
Alto del Carmen,Frecuencia Anual Detenciones,2007,0
Alto del Carmen,Frecuencia Anual Detenciones,2008,0
Alto del Carmen,Frecuencia Anual Detenciones,2009,0
Alto del Carmen,Frecuencia Anual Detenciones,2010,0
Alto del Carmen,Frecuencia Anual Detenciones,2011,0
Alto del Carmen,Frecuencia Anual Detenciones,2012,0
Alto del Carmen,Frecuencia Anual Detenciones,2013,0
Alto del Carmen,Frecuencia Anual Detenciones,2014,1
Alto del Carmen,Frecuencia Anual Detenciones,2015,0
Alto del Carmen,Frecuencia Anual Detenciones,2016,0
Alto del Carmen,Frecuencia Anual Detenciones,2017,0
Alto del Carmen,Frecuencia Anual Detenciones,2018,0
Alto del Carmen,Frecuencia Anual Detenciones,2019,0
Alto Hospicio,Frecuencia Anual Aprehendidos,2005,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2006,0
Alto Hospicio,Frecuencia Anual Aprehendidos,2007,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2008,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2009,2
Alto Hospicio,Frecuencia Anual Aprehendidos,2010,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2011,2
Alto Hospicio,Frecuencia Anual Aprehendidos,2012,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2013,2
Alto Hospicio,Frecuencia Anual Aprehendidos,2014,3
Alto Hospicio,Frecuencia Anual Aprehendidos,2015,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2016,2
Alto Hospicio,Frecuencia Anual Aprehendidos,2017,1
Alto Hospicio,Frecuencia Anual Aprehendidos,2018,3
Alto Hospicio,Frecuencia Anual Aprehendidos,2019,1
Alto Hospicio,Frecuencia Anual Casos Policiales,2005,10
Alto Hospicio,Frecuencia Anual Casos Policiales,2006,7
Alto Hospicio,Frecuencia Anual Casos Policiales,2007,13
Alto Hospicio,Frecuencia Anual Casos Policiales,2008,16
Alto Hospicio,Frecuencia Anual Casos Policiales,2009,20
Alto Hospicio,Frecuencia Anual Casos Policiales,2010,19
Alto Hospicio,Frecuencia Anual Casos Policiales,2011,26
Alto Hospicio,Frecuencia Anual Casos Policiales,2012,20
Alto Hospicio,Frecuencia Anual Casos Policiales,2013,23
Alto Hospicio,Frecuencia Anual Casos Policiales,2014,24
Alto Hospicio,Frecuencia Anual Casos Policiales,2015,18
Alto Hospicio,Frecuencia Anual Casos Policiales,2016,20
Alto Hospicio,Frecuencia Anual Casos Policiales,2017,13
Alto Hospicio,Frecuencia Anual Casos Policiales,2018,19
Alto Hospicio,Frecuencia Anual Casos Policiales,2019,28
Alto Hospicio,Frecuencia Anual Denuncia,2005,9
Alto Hospicio,Frecuencia Anual Denuncia,2006,7
Alto Hospicio,Frecuencia Anual Denuncia,2007,12
Alto Hospicio,Frecuencia Anual Denuncia,2008,15
Alto Hospicio,Frecuencia Anual Denuncia,2009,18
Alto Hospicio,Frecuencia Anual Denuncia,2010,18
Alto Hospicio,Frecuencia Anual Denuncia,2011,24
Alto Hospicio,Frecuencia Anual Denuncia,2012,19
Alto Hospicio,Frecuencia Anual Denuncia,2013,21
Alto Hospicio,Frecuencia Anual Denuncia,2014,21
Alto Hospicio,Frecuencia Anual Denuncia,2015,17
Alto Hospicio,Frecuencia Anual Denuncia,2016,18
Alto Hospicio,Frecuencia Anual Denuncia,2017,12
Alto Hospicio,Frecuencia Anual Denuncia,2018,16
Alto Hospicio,Frecuencia Anual Denuncia,2019,27
Alto Hospicio,Frecuencia Anual Detenciones,2005,1
Alto Hospicio,Frecuencia Anual Detenciones,2006,0
Alto Hospicio,Frecuencia Anual Detenciones,2007,1
Alto Hospicio,Frecuencia Anual Detenciones,2008,1
Alto Hospicio,Frecuencia Anual Detenciones,2009,2
Alto Hospicio,Frecuencia Anual Detenciones,2010,1
Alto Hospicio,Frecuencia Anual Detenciones,2011,2
Alto Hospicio,Frecuencia Anual Detenciones,2012,1
Alto Hospicio,Frecuencia Anual Detenciones,2013,2
Alto Hospicio,Frecuencia Anual Detenciones,2014,3
Alto Hospicio,Frecuencia Anual Detenciones,2015,1
Alto Hospicio,Frecuencia Anual Detenciones,2016,2
Alto Hospicio,Frecuencia Anual Detenciones,2017,1
Alto Hospicio,Frecuencia Anual Detenciones,2018,3
Alto Hospicio,Frecuencia Anual Detenciones,2019,1
Ancud,Frecuencia Anual Aprehendidos,2005,1
Ancud,Frecuencia Anual Aprehendidos,2006,1
Ancud,Frecuencia Anual Aprehendidos,2007,1
Ancud,Frecuencia Anual Aprehendidos,2008,1
Ancud,Frecuencia Anual Aprehendidos,2009,3
Ancud,Frecuencia Anual Aprehendidos,2010,2
Ancud,Frecuencia Anual Aprehendidos,2011,2
Ancud,Frecuencia Anual Aprehendidos,2012,1
Ancud,Frecuencia Anual Aprehendidos,2013,2
Ancud,Frecuencia Anual Aprehendidos,2014,2
Ancud,Frecuencia Anual Aprehendidos,2015,1
Ancud,Frecuencia Anual Aprehendidos,2016,0
Ancud,Frecuencia Anual Aprehendidos,2017,2
Ancud,Frecuencia Anual Aprehendidos,2018,0
Ancud,Frecuencia Anual Aprehendidos,2019,2
Ancud,Frecuencia Anual Casos Policiales,2005,13
Ancud,Frecuencia Anual Casos Policiales,2006,10
Ancud,Frecuencia Anual Casos Policiales,2007,11
Ancud,Frecuencia Anual Casos Policiales,2008,6
Ancud,Frecuencia Anual Casos Policiales,2009,20
Ancud,Frecuencia Anual Casos Policiales,2010,13
Ancud,Frecuencia Anual Casos Policiales,2011,13
Ancud,Frecuencia Anual Casos Policiales,2012,11
Ancud,Frecuencia Anual Casos Policiales,2013,7
Ancud,Frecuencia Anual Casos Policiales,2014,20
Ancud,Frecuencia Anual Casos Policiales,2015,9
Ancud,Frecuencia Anual Casos Policiales,2016,10
Ancud,Frecuencia Anual Casos Policiales,2017,13
Ancud,Frecuencia Anual Casos Policiales,2018,10
Ancud,Frecuencia Anual Casos Policiales,2019,12
Ancud,Frecuencia Anual Denuncia,2005,12
Ancud,Frecuencia Anual Denuncia,2006,9
Ancud,Frecuencia Anual Denuncia,2007,10
Ancud,Frecuencia Anual Denuncia,2008,5
Ancud,Frecuencia Anual Denuncia,2009,17
Ancud,Frecuencia Anual Denuncia,2010,11
Ancud,Frecuencia Anual Denuncia,2011,11
Ancud,Frecuencia Anual Denuncia,2012,10
Ancud,Frecuencia Anual Denuncia,2013,5
Ancud,Frecuencia Anual Denuncia,2014,18
Ancud,Frecuencia Anual Denuncia,2015,8
Ancud,Frecuencia Anual Denuncia,2016,10
Ancud,Frecuencia Anual Denuncia,2017,11
Ancud,Frecuencia Anual Denuncia,2018,10
Ancud,Frecuencia Anual Denuncia,2019,9
Ancud,Frecuencia Anual Detenciones,2005,1
Ancud,Frecuencia Anual Detenciones,2006,1
Ancud,Frecuencia Anual Detenciones,2007,1
Ancud,Frecuencia Anual Detenciones,2008,1
Ancud,Frecuencia Anual Detenciones,2009,3
Ancud,Frecuencia Anual Detenciones,2010,2
Ancud,Frecuencia Anual Detenciones,2011,2
Ancud,Frecuencia Anual Detenciones,2012,1
Ancud,Frecuencia Anual Detenciones,2013,2
Ancud,Frecuencia Anual Detenciones,2014,2
Ancud,Frecuencia Anual Detenciones,2015,1
Ancud,Frecuencia Anual Detenciones,2016,0
Ancud,Frecuencia Anual Detenciones,2017,2
Ancud,Frecuencia Anual Detenciones,2018,0
Ancud,Frecuencia Anual Detenciones,2019,3
Andacollo,Frecuencia Anual Aprehendidos,2005,0
Andacollo,Frecuencia Anual Aprehendidos,2006,0
Andacollo,Frecuencia Anual Aprehendidos,2007,0
Andacollo,Frecuencia Anual Aprehendidos,2008,0
Andacollo,Frecuencia Anual Aprehendidos,2009,0
Andacollo,Frecuencia Anual Aprehendidos,2010,0
Andacollo,Frecuencia Anual Aprehendidos,2011,0
Andacollo,Frecuencia Anual Aprehendidos,2012,0
Andacollo,Frecuencia Anual Aprehendidos,2013,0
Andacollo,Frecuencia Anual Aprehendidos,2014,0
Andacollo,Frecuencia Anual Aprehendidos,2015,0
Andacollo,Frecuencia Anual Aprehendidos,2016,0
Andacollo,Frecuencia Anual Aprehendidos,2017,0
Andacollo,Frecuencia Anual Aprehendidos,2018,0
Andacollo,Frecuencia Anual Aprehendidos,2019,0
Andacollo,Frecuencia Anual Casos Policiales,2005,1
Andacollo,Frecuencia Anual Casos Policiales,2006,2
Andacollo,Frecuencia Anual Casos Policiales,2007,1
Andacollo,Frecuencia Anual Casos Policiales,2008,1
Andacollo,Frecuencia Anual Casos Policiales,2009,2
Andacollo,Frecuencia Anual Casos Policiales,2010,2
Andacollo,Frecuencia Anual Casos Policiales,2011,2
Andacollo,Frecuencia Anual Casos Policiales,2012,1
Andacollo,Frecuencia Anual Casos Policiales,2013,0
Andacollo,Frecuencia Anual Casos Policiales,2014,1
Andacollo,Frecuencia Anual Casos Policiales,2015,0
Andacollo,Frecuencia Anual Casos Policiales,2016,1
Andacollo,Frecuencia Anual Casos Policiales,2017,0
Andacollo,Frecuencia Anual Casos Policiales,2018,5
Andacollo,Frecuencia Anual Casos Policiales,2019,0
Andacollo,Frecuencia Anual Denuncia,2005,1
Andacollo,Frecuencia Anual Denuncia,2006,2
Andacollo,Frecuencia Anual Denuncia,2007,1
Andacollo,Frecuencia Anual Denuncia,2008,1
Andacollo,Frecuencia Anual Denuncia,2009,2
Andacollo,Frecuencia Anual Denuncia,2010,2
Andacollo,Frecuencia Anual Denuncia,2011,2
Andacollo,Frecuencia Anual Denuncia,2012,1
Andacollo,Frecuencia Anual Denuncia,2013,0
Andacollo,Frecuencia Anual Denuncia,2014,1
Andacollo,Frecuencia Anual Denuncia,2015,0
Andacollo,Frecuencia Anual Denuncia,2016,1
Andacollo,Frecuencia Anual Denuncia,2017,0
Andacollo,Frecuencia Anual Denuncia,2018,5
Andacollo,Frecuencia Anual Denuncia,2019,0
Andacollo,Frecuencia Anual Detenciones,2005,0
Andacollo,Frecuencia Anual Detenciones,2006,0
Andacollo,Frecuencia Anual Detenciones,2007,0
Andacollo,Frecuencia Anual Detenciones,2008,0
Andacollo,Frecuencia Anual Detenciones,2009,0
Andacollo,Frecuencia Anual Detenciones,2010,0
Andacollo,Frecuencia Anual Detenciones,2011,0
Andacollo,Frecuencia Anual Detenciones,2012,0
Andacollo,Frecuencia Anual Detenciones,2013,0
Andacollo,Frecuencia Anual Detenciones,2014,0
Andacollo,Frecuencia Anual Detenciones,2015,0
Andacollo,Frecuencia Anual Detenciones,2016,0
Andacollo,Frecuencia Anual Detenciones,2017,0
Andacollo,Frecuencia Anual Detenciones,2018,0
Andacollo,Frecuencia Anual Detenciones,2019,0
Angol,Frecuencia Anual Aprehendidos,2005,3
Angol,Frecuencia Anual Aprehendidos,2006,3
Angol,Frecuencia Anual Aprehendidos,2007,6
Angol,Frecuencia Anual Aprehendidos,2008,3
Angol,Frecuencia Anual Aprehendidos,2009,3
Angol,Frecuencia Anual Aprehendidos,2010,4
Angol,Frecuencia Anual Aprehendidos,2011,2
Angol,Frecuencia Anual Aprehendidos,2012,1
Angol,Frecuencia Anual Aprehendidos,2013,1
Angol,Frecuencia Anual Aprehendidos,2014,2
Angol,Frecuencia Anual Aprehendidos,2015,2
Angol,Frecuencia Anual Aprehendidos,2016,1
Angol,Frecuencia Anual Aprehendidos,2017,0
Angol,Frecuencia Anual Aprehendidos,2018,0
Angol,Frecuencia Anual Aprehendidos,2019,1
Angol,Frecuencia Anual Casos Policiales,2005,7
Angol,Frecuencia Anual Casos Policiales,2006,13
Angol,Frecuencia Anual Casos Policiales,2007,17
Angol,Frecuencia Anual Casos Policiales,2008,9
Angol,Frecuencia Anual Casos Policiales,2009,17
Angol,Frecuencia Anual Casos Policiales,2010,13
Angol,Frecuencia Anual Casos Policiales,2011,15
Angol,Frecuencia Anual Casos Policiales,2012,13
Angol,Frecuencia Anual Casos Policiales,2013,8
